date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU3,39767,0.3,0,1,1,0.0,0,0,0,0
2017-02-12,SKU3,49090,0.3,1,0,0,0.0,0,1,0,0
2017-02-19,SKU3,41044,0.3,1,0,1,0.0,0,0,0,0
2017-02-26,SKU3,53637,0.3,0,0,0,0.0,0,0,0,0
2017-03-05,SKU3,13568,0.0,0,1,0,0.0,0,0,0,0
2017-03-12,SKU3,48230,0.3,1,0,0,0.0,0,0,0,0
2017-03-19,SKU3,47632,0.3,1,0,0,0.0,0,0,0,0
2017-03-26,SKU3,52458,0.3,1,0,0,0.0,0,0,0,0
2017-04-02,SKU3,48624,0.3,0,1,0,0.0,0,0,0,0
2017-04-09,SKU3,58678,0.3,1,0,0,0.0,0,0,1,0
2017-04-16,SKU3,31180,0.2,0,1,0,0.0,0,0,0,0
2017-04-23,SKU3,39918,0.3,1,0,0,0.0,0,0,0,0
2017-04-30,SKU3,28519,0.2,0,1,1,0.0,0,0,0,0
2017-05-07,SKU3,212245,0.5,1,0,0,0.0,0,0,0,0
2017-05-14,SKU3,46634,0.3,0,0,0,0.0,0,0,0,0
2017-05-21,SKU3,15816,0.0,1,0,0,0.0,0,0,0,0
2017-05-28,SKU3,50615,0.3,1,0,1,0.0,0,0,0,0
2017-06-04,SKU3,55744,0.3,0,1,1,0.0,0,0,0,0
2017-06-11,SKU3,248373,0.5,1,0,1,0.0,0,0,0,0
2017-06-18,SKU3,56218,0.3,0,1,1,0.0,0,0,0,0
2017-06-25,SKU3,88330,0.4,1,0,1,0.0,0,0,0,0
2017-07-02,SKU3,21719,0.02,0,1,1,0.0,0,0,0,0
2017-07-09,SKU3,66602,0.3,1,0,1,0.0,0,0,0,0
2017-07-16,SKU3,37996,0.2,1,0,1,0.0,0,0,0,0
2017-07-23,SKU3,60173,0.3,1,0,1,0.0,0,0,0,0
2017-07-30,SKU3,18827,0.0,1,0,0,0.0,0,0,0,0
2017-08-06,SKU3,52917,0.3,1,0,1,0.0,0,0,0,0
2017-08-13,SKU3,19315,0.0,1,0,1,0.0,0,0,0,0
2017-08-20,SKU3,57361,0.3,0,1,1,0.0,0,0,0,0
2017-08-27,SKU3,236242,0.5,1,0,1,0.0,0,0,0,0
2017-09-03,SKU3,55091,0.3,1,0,1,0.0,0,0,0,0
2017-09-10,SKU3,64818,0.3,1,0,1,0.0,0,0,0,0
2017-09-17,SKU3,63731,0.4,0,1,1,0.0,0,0,0,0
2017-09-24,SKU3,72851,0.4,1,0,1,0.0,0,0,0,0
2017-10-01,SKU3,18797,0.02,1,0,1,0.0,0,0,0,0
2017-10-08,SKU3,52132,0.3,1,0,1,0.0,0,0,0,0
2017-10-15,SKU3,31259,0.2,0,1,1,0.0,0,0,0,0
2017-10-22,SKU3,49891,0.3,1,0,1,0.0,0,0,0,0
2017-10-29,SKU3,16354,0.02,0,1,1,0.0,0,0,0,0
2017-11-05,SKU3,212947,0.5,1,0,1,0.0,0,0,0,0
2017-11-12,SKU3,47367,0.3,1,0,1,0.0,0,0,0,0
2017-11-19,SKU3,29788,0.2,1,0,1,0.0,0,0,0,0
2017-11-26,SKU3,43078,0.3,0,1,1,0.0,0,0,0,0
2017-12-03,SKU3,62176,0.4,1,0,1,0.0,0,0,0,1
2017-12-10,SKU3,15098,0.0,1,0,1,0.0,0,0,0,0
2017-12-17,SKU3,46362,0.3,1,0,0,0.0,0,0,0,0
2017-12-24,SKU3,40244,0.3,1,0,1,0.0,0,0,0,0
2017-12-31,SKU3,10970,0.0,1,0,0,0.0,0,0,0,0
2018-01-07,SKU3,57707,0.4,1,0,1,0.0,0,0,0,0
2018-01-14,SKU3,13001,0.02,0,1,0,0.0,0,0,0,0
2018-01-21,SKU3,60844,0.4,1,0,1,0.0,0,0,0,0
2018-01-28,SKU3,14766,0.0,1,0,0,0.0,0,0,0,0
2018-02-04,SKU3,66821,0.4,1,0,1,0.0,0,0,0,0
2018-02-11,SKU3,14822,0.0,0,1,1,0.0,0,1,0,0
2018-02-18,SKU3,65917,0.4,1,0,0,0.0,0,0,0,0
2018-02-25,SKU3,72768,0.4,1,0,1,0.0,0,0,0,0
2018-03-04,SKU3,15242,0.0,0,1,0,0.0,0,0,0,0
2018-03-11,SKU3,77546,0.4,1,0,1,0.0,0,0,0,0
2018-03-18,SKU3,15914,0.0,0,1,0,0.0,0,0,0,0
2018-03-25,SKU3,81070,0.4,1,0,1,0.0,0,0,0,0
2018-04-01,SKU3,16298,0.02,1,0,0,0.0,0,0,0,0
2018-04-08,SKU3,63779,0.4,1,0,1,0.0,0,0,1,0
2018-04-15,SKU3,15593,0.0,1,0,0,0.0,0,0,0,0
2018-04-22,SKU3,91541,0.4,1,0,1,0.0,0,0,0,0
2018-04-29,SKU3,41716,0.2,0,1,0,0.0,0,0,0,0
2018-05-06,SKU3,85960,0.4,1,0,0,0.0,0,0,0,0
2018-05-13,SKU3,73443,0.4,1,0,1,0.0,0,0,0,0
2018-05-20,SKU3,81236,0.4,1,0,1,0.0,0,0,0,0
2018-05-27,SKU3,20184,0.0,1,0,1,0.0,0,0,0,0
2018-06-03,SKU3,43483,0.2,0,1,1,0.0,0,0,0,0
2018-06-10,SKU3,288322,0.5,1,0,1,0.0,0,0,0,0
2018-06-17,SKU3,44670,0.22,1,0,1,0.0,0,0,0,0
2018-06-24,SKU3,83798,0.4,1,0,1,0.0,0,0,0,0
2018-07-01,SKU3,45241,0.2,0,1,1,0.0,0,0,0,0
2018-07-08,SKU3,98300,0.4,1,0,1,0.0,0,0,0,0
2018-07-15,SKU3,24771,0.0,0,1,0,0.0,0,0,0,0
2018-07-22,SKU3,77644,0.4,1,0,1,0.0,0,0,0,0
2018-07-29,SKU3,21768,0.0,1,0,0,0.0,0,0,0,0
2018-08-05,SKU3,43217,0.2,1,0,1,0.0,0,0,0,0
2018-08-12,SKU3,21318,0.0,0,1,1,0.0,0,0,0,0
2018-08-19,SKU3,94025,0.4,1,0,1,0.0,0,0,0,0
2018-08-26,SKU3,19395,0.0,1,0,0,0.0,0,0,0,0
2018-09-02,SKU3,84724,0.4,1,0,1,0.0,0,0,0,0
2018-09-09,SKU3,17903,0.0,1,0,0,0.0,0,0,0,0
2018-09-16,SKU3,83294,0.4,1,0,1,0.0,0,0,0,0
2018-09-23,SKU3,69874,0.4,0,1,1,0.0,0,0,0,0
2018-09-30,SKU3,237462,0.5,1,0,1,0.0,0,0,0,0
2018-10-07,SKU3,19806,0.04,0,1,0,0.0,0,0,0,0
2018-10-14,SKU3,94028,0.4,1,0,1,0.0,0,0,0,0
2018-10-21,SKU3,17859,0.0,0,1,1,0.0,0,0,0,0
2018-10-28,SKU3,73225,0.4,1,0,1,0.0,0,0,0,0
2018-11-04,SKU3,16559,0.0,0,1,0,0.0,0,0,0,0
2018-11-11,SKU3,86341,0.4,1,0,1,0.0,0,0,0,0
2018-11-18,SKU3,18175,0.02,0,1,0,0.0,0,0,0,0
2018-11-25,SKU3,85834,0.4,1,0,1,0.0,0,0,0,0
2018-12-02,SKU3,16673,0.02,1,0,1,0.0,0,0,0,1
2018-12-09,SKU3,80303,0.4,1,0,1,0.0,0,0,0,0
2018-12-16,SKU3,16228,0.02,1,0,1,0.0,0,0,0,0
2018-12-23,SKU3,15567,0.0,1,0,0,0.0,0,0,0,0
2018-12-30,SKU3,19818,0.2,0,1,0,0.0,0,0,0,0
2019-01-06,SKU3,65120,0.42,1,0,1,0.0,0,0,0,0
2019-01-13,SKU3,13910,0.0,0,1,0,0.0,0,0,0,0
2019-01-20,SKU3,72688,0.4,1,0,1,0.0,0,0,0,0
2019-01-27,SKU3,15378,0.0,0,1,0,0.0,0,0,0,0
2019-02-03,SKU3,77331,0.4,1,0,1,0.0,0,0,0,0
2019-02-10,SKU3,16284,0.03,1,0,1,0.0,0,1,0,0
2019-02-17,SKU3,195088,0.5,1,0,1,0.0,0,0,0,0
2019-02-24,SKU3,66726,0.4,0,1,1,0.0,0,0,0,0
2019-03-03,SKU3,70897,0.4,1,0,1,0.0,0,0,0,0
2019-03-10,SKU3,18959,0.07,0,1,1,0.0,0,0,0,0
2019-03-17,SKU3,84789,0.4,1,0,1,0.0,0,0,0,0
2019-03-24,SKU3,23297,0.22,0,1,0,0.0,0,0,0,0
2019-03-31,SKU3,74574,0.4,1,0,1,0.0,0,0,0,0
2019-04-07,SKU3,20603,0.23,0,1,0,0.0,0,0,1,0
2019-04-14,SKU3,82925,0.45,1,0,1,0.0,0,0,0,0
2019-04-21,SKU3,16258,0.09,0,1,1,0.0,0,0,0,0
2019-04-28,SKU3,60819,0.4,1,0,1,0.0,0,0,0,0
2019-05-05,SKU3,14847,0.21,0,1,0,0.0,0,0,0,0
2019-05-12,SKU3,73917,0.43,1,0,1,0.0,0,0,0,0
2019-05-19,SKU3,30770,0.38,0,1,0,0.0,0,0,0,0
2019-05-26,SKU3,65796,0.49,1,0,0,0.0,0,0,0,0
2019-06-02,SKU3,19708,0.3,0,1,0,0.0,0,0,0,0
2019-06-09,SKU3,197503,0.55,1,0,0,0.0,0,0,0,0
2019-06-16,SKU3,40396,0.43,0,1,0,0.0,0,0,0,0
2019-06-23,SKU3,75058,0.45,1,0,1,0.0,0,0,0,0
2019-06-30,SKU3,34350,0.35,1,0,1,0.0,0,0,0,0
2019-07-07,SKU3,63367,0.41,1,0,1,0.0,0,0,0,0
2019-07-14,SKU3,19698,0.33,0,1,0,0.0,0,0,0,0
2019-07-21,SKU3,82028,0.48,1,0,1,0.0,0,0,0,0
2019-07-28,SKU3,18589,0.33,0,1,1,0.0,0,0,0,0
2019-08-04,SKU3,75642,0.51,1,0,1,0.0,0,0,0,0
2019-08-11,SKU3,20287,0.33,0,1,1,0.0,0,0,0,0
2019-08-18,SKU3,224723,0.52,1,0,1,0.0,0,0,0,0
2019-08-25,SKU3,36190,0.22,0,1,0,0.0,0,0,0,0
2019-09-01,SKU3,78848,0.51,1,0,1,0.0,0,0,0,0
2019-09-08,SKU3,18947,0.33,1,0,0,0.0,0,0,0,0
2019-09-15,SKU3,75687,0.45,1,0,1,0.0,0,0,0,0
2019-09-22,SKU3,22404,0.34,0,1,1,0.0,0,0,0,0
2019-09-29,SKU3,207356,0.54,1,0,1,0.0,0,0,0,0
2019-10-06,SKU3,37198,0.32,0,1,1,0.0,0,0,0,0
2019-10-13,SKU3,83295,0.22,1,0,1,0.0,0,0,0,0
2019-10-20,SKU3,18549,0.04,0,1,0,0.0,0,0,0,0
2019-10-27,SKU3,77885,0.23,1,0,1,0.0,0,0,0,0
2019-11-03,SKU3,16769,0.04,0,1,1,0.0,0,0,0,0
2019-11-10,SKU3,182891,0.49,1,0,1,0.0,0,0,0,0
2019-11-17,SKU3,30944,0.14,0,1,0,0.0,0,0,0,0
2019-11-24,SKU3,74345,0.22,1,0,1,0.0,0,0,0,0
2019-12-01,SKU3,16864,0.04,0,1,1,0.0,0,0,0,1
2019-12-08,SKU3,72108,0.35,1,0,1,0.0,0,0,0,0
2019-12-15,SKU3,29325,0.2,1,0,1,0.0,0,0,0,0
2019-12-22,SKU3,33126,0.13,1,0,0,0.0,0,0,0,0
2019-12-29,SKU3,17979,0.2,0,1,0,0.0,0,0,0,0
2020-01-05,SKU3,50536,0.5,1,0,1,0.0,0,0,0,0
2020-01-12,SKU3,13672,0.36,0,1,0,0.0,0,0,0,0
2020-01-19,SKU3,59700,0.8,1,0,1,0.0,0,0,0,0
2020-01-26,SKU3,14278,0.67,0,1,1,0.0,0,0,0,0
2020-02-02,SKU3,56120,0.8,1,0,1,0.0,0,0,0,0
2020-02-09,SKU3,15286,0.67,0,1,1,2.36,1,0,0,0
2020-02-16,SKU3,187548,0.51,1,0,1,3.3,1,1,0,0
2020-02-23,SKU3,31172,0.74,0,1,0,3.9,1,0,0,0
2020-03-01,SKU3,76759,0.8,1,0,1,3.81,1,0,0,0
2020-03-08,SKU3,16311,0.67,0,1,0,3.01,1,0,0,0
2020-03-15,SKU3,102770,0.48,1,0,1,0.26,1,0,0,0
2020-03-22,SKU3,24862,0.67,0,0,0,-15.7,1,0,0,0
2020-03-29,SKU3,33476,0.67,1,0,1,-26.63,1,0,0,0
2020-04-05,SKU3,29350,0.67,0,1,0,-28.49,1,0,0,0
2020-04-12,SKU3,97959,0.8,1,0,0,-27.3,1,0,1,0
2020-04-19,SKU3,19116,0.68,0,1,1,-24.28,1,0,0,0
2020-04-26,SKU3,64671,0.77,1,0,0,-22.58,1,0,0,0
2020-05-03,SKU3,22217,0.67,0,0,0,-18.18,1,0,0,0
2020-05-10,SKU3,78949,0.8,0,0,0,-15.91,1,0,0,0
2020-05-17,SKU3,19161,0.67,0,0,0,-15.27,1,0,0,0
2020-05-24,SKU3,66290,0.8,0,0,0,-13.24,1,0,0,0
2020-05-31,SKU3,19726,0.67,1,0,1,-10.86,1,0,0,0
2020-06-07,SKU3,75510,0.8,1,0,1,-10.13,1,0,0,0
2020-06-14,SKU3,20278,0.67,1,0,1,-8.68,1,0,0,0
2020-06-21,SKU3,79090,0.8,1,0,1,-8.57,1,0,0,0
2020-06-28,SKU3,23331,0.67,1,0,0,-7.5,1,0,0,0
2020-07-05,SKU3,63430,0.77,1,0,1,-8.04,1,0,0,0
2020-07-12,SKU3,20478,0.67,0,1,1,-9.36,1,0,0,0
2020-07-19,SKU3,184365,0.83,1,0,0,-8.77,1,0,0,0
2020-07-26,SKU3,33301,0.71,1,0,0,-9.93,1,0,0,0
2020-08-02,SKU3,60530,0.77,1,0,0,-11.65,1,0,0,0
2020-08-09,SKU3,21666,0.67,1,0,1,-13.23,1,0,0,0
2020-08-16,SKU3,189965,0.83,1,0,1,-20.35,1,0,0,0
2020-08-23,SKU3,51798,0.77,1,0,1,-19.41,1,0,0,0
2020-08-30,SKU3,51884,0.77,1,0,1,-18.83,1,0,0,0
2020-09-06,SKU3,21108,0.67,0,1,0,-16.44,1,0,0,0
2020-09-13,SKU3,57867,0.77,1,0,1,-7.28,1,0,0,0
2020-09-20,SKU3,19186,0.67,1,0,1,-9.87,1,0,0,0
2020-09-27,SKU3,59997,0.77,1,0,1,-7.79,1,0,0,0
2020-10-04,SKU3,52970,0.77,0,1,1,-9.73,1,0,0,0
2020-10-11,SKU3,54751,0.77,1,0,1,-7.39,1,0,0,0
2020-10-18,SKU3,17625,0.67,0,1,0,-7.56,1,0,0,0
2020-10-25,SKU3,60638,0.77,1,0,1,-8.39,1,0,0,0
2020-11-01,SKU3,15003,0.67,1,0,1,-7.43,1,0,0,0
2020-11-08,SKU3,42459,0.77,1,0,0,-5.95,1,0,0,0
2020-11-15,SKU3,13668,0.67,0,1,1,-7.2,1,0,0,0
2020-11-22,SKU3,0,0.83,1,0,0,-5.96,1,0,0,0
2020-11-29,SKU3,0,0.73,0,1,0,-5.3,1,0,0,0
2020-12-06,SKU3,0,0.74,1,0,0,-4.38,1,0,0,0
2020-12-13,SKU3,0,0.74,0,1,0,-4.74,1,0,0,0
2020-12-20,SKU3,0,0.75,0,1,0,-10.27,1,0,0,1
2020-12-27,SKU3,0,0.74,1,0,1,-6.95,1,0,0,0
