date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU4,12835,0.3,0,1,1,0.0,0,0,0,0
2017-02-12,SKU4,15705,0.3,1,0,0,0.0,0,1,0,0
2017-02-19,SKU4,13382,0.3,1,0,1,0.0,0,0,0,0
2017-02-26,SKU4,15709,0.3,0,0,0,0.0,0,0,0,0
2017-03-05,SKU4,3729,0.0,0,1,0,0.0,0,0,0,0
2017-03-12,SKU4,15061,0.3,1,0,0,0.0,0,0,0,0
2017-03-19,SKU4,15759,0.3,1,0,0,0.0,0,0,0,0
2017-03-26,SKU4,15479,0.3,1,0,0,0.0,0,0,0,0
2017-04-02,SKU4,16003,0.3,0,1,0,0.0,0,0,0,0
2017-04-09,SKU4,19455,0.3,1,0,0,0.0,0,0,1,0
2017-04-16,SKU4,9445,0.2,0,1,0,0.0,0,0,0,0
2017-04-23,SKU4,12697,0.3,1,0,0,0.0,0,0,0,0
2017-04-30,SKU4,8735,0.2,0,1,1,0.0,0,0,0,0
2017-05-07,SKU4,65464,0.5,1,0,0,0.0,0,0,0,0
2017-05-14,SKU4,14559,0.32,0,0,0,0.0,0,0,0,0
2017-05-21,SKU4,4400,0.02,1,0,0,0.0,0,0,0,0
2017-05-28,SKU4,16004,0.3,1,0,1,0.0,0,0,0,0
2017-06-04,SKU4,15932,0.3,0,1,1,0.0,0,0,0,0
2017-06-11,SKU4,63256,0.5,1,0,1,0.0,0,0,0,0
2017-06-18,SKU4,16824,0.32,0,1,1,0.0,0,0,0,0
2017-06-25,SKU4,26316,0.4,1,0,1,0.0,0,0,0,0
2017-07-02,SKU4,5426,0.02,0,1,1,0.0,0,0,0,0
2017-07-09,SKU4,19411,0.3,1,0,1,0.0,0,0,0,0
2017-07-16,SKU4,11807,0.2,1,0,1,0.0,0,0,0,0
2017-07-23,SKU4,21089,0.3,1,0,1,0.0,0,0,0,0
2017-07-30,SKU4,5487,0.0,1,0,0,0.0,0,0,0,0
2017-08-06,SKU4,17564,0.3,1,0,1,0.0,0,0,0,0
2017-08-13,SKU4,5497,0.0,1,0,1,0.0,0,0,0,0
2017-08-20,SKU4,18434,0.3,0,1,1,0.0,0,0,0,0
2017-08-27,SKU4,75377,0.5,1,0,1,0.0,0,0,0,0
2017-09-03,SKU4,16756,0.32,1,0,1,0.0,0,0,0,0
2017-09-10,SKU4,17340,0.3,1,0,1,0.0,0,0,0,0
2017-09-17,SKU4,20945,0.4,0,1,1,0.0,0,0,0,0
2017-09-24,SKU4,24469,0.4,1,0,1,0.0,0,0,0,0
2017-10-01,SKU4,5640,0.02,1,0,1,0.0,0,0,0,0
2017-10-08,SKU4,16773,0.3,1,0,1,0.0,0,0,0,0
2017-10-15,SKU4,10420,0.2,0,1,1,0.0,0,0,0,0
2017-10-22,SKU4,16777,0.3,1,0,1,0.0,0,0,0,0
2017-10-29,SKU4,4725,0.02,0,1,1,0.0,0,0,0,0
2017-11-05,SKU4,69467,0.5,1,0,1,0.0,0,0,0,0
2017-11-12,SKU4,15498,0.32,1,0,1,0.0,0,0,0,0
