date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU1,27750,0.0,0,0,0,0.0,0,0,0,0
2017-02-12,SKU1,29023,0.0,1,0,1,0.0,0,1,0,0
2017-02-19,SKU1,45630,0.17,0,0,0,0.0,0,0,0,0
2017-02-26,SKU1,26789,0.0,1,0,1,0.0,0,0,0,0
2017-03-05,SKU1,41999,0.17,0,0,0,0.0,0,0,0,0
2017-03-12,SKU1,29731,0.0,0,0,0,0.0,0,0,0,0
2017-03-19,SKU1,27365,0.0,1,0,0,0.0,0,0,0,0
2017-03-26,SKU1,27722,0.0,1,0,1,0.0,0,0,0,0
2017-04-02,SKU1,44339,0.17,1,0,0,0.0,0,0,0,0
2017-04-09,SKU1,54655,0.17,1,0,0,0.0,0,0,1,0
2017-04-16,SKU1,108159,0.44,0,0,0,0.0,0,0,0,0
2017-04-23,SKU1,30361,0.0,1,0,1,0.0,0,0,0,0
2017-04-30,SKU1,42154,0.17,1,0,1,0.0,0,0,0,0
2017-05-07,SKU1,39782,0.17,0,0,0,0.0,0,0,0,0
2017-05-14,SKU1,29490,0.0,0,0,0,0.0,0,0,0,0
2017-05-21,SKU1,25936,0.0,0,0,0,0.0,0,0,0,0
2017-05-28,SKU1,26045,0.0,0,0,0,0.0,0,0,0,0
2017-06-04,SKU1,25903,0.0,1,0,1,0.0,0,0,0,0
2017-06-11,SKU1,43689,0.17,0,0,0,0.0,0,0,0,0
2017-06-18,SKU1,25446,0.0,1,0,1,0.0,0,0,0,0
2017-06-25,SKU1,42543,0.17,0,0,0,0.0,0,0,0,0
2017-07-02,SKU1,27001,0.0,1,0,1,0.0,0,0,0,0
2017-07-09,SKU1,45198,0.17,0,0,0,0.0,0,0,0,0
2017-07-16,SKU1,28650,0.0,1,0,1,0.0,0,0,0,0
2017-07-23,SKU1,42032,0.17,0,0,0,0.0,0,0,0,0
2017-07-30,SKU1,27657,0.0,0,0,0,0.0,0,0,0,0
2017-08-06,SKU1,26888,0.0,1,0,1,0.0,0,0,0,0
2017-08-13,SKU1,46260,0.17,0,0,0,0.0,0,0,0,0
2017-08-20,SKU1,29415,0.0,1,0,1,0.0,0,0,0,0
2017-08-27,SKU1,50471,0.17,1,0,1,0.0,0,0,0,0
2017-09-03,SKU1,49531,0.17,0,0,0,0.0,0,0,0,0
2017-09-10,SKU1,30874,0.0,0,1,1,0.0,0,0,0,0
2017-09-17,SKU1,82940,0.44,0,0,0,0.0,0,0,0,0
2017-09-24,SKU1,34481,0.0,1,0,1,0.0,0,0,0,0
2017-10-01,SKU1,96610,0.44,0,0,0,0.0,0,0,0,0
2017-10-08,SKU1,31898,0.0,0,0,0,0.0,0,0,0,0
2017-10-15,SKU1,33967,0.0,0,0,0,0.0,0,0,0,0
2017-10-22,SKU1,33429,0.0,0,0,0,0.0,0,0,0,0
2017-10-29,SKU1,34918,0.0,1,0,0,0.0,0,0,0,0
2017-11-05,SKU1,104775,0.44,1,0,0,0.0,0,0,0,0
2017-11-12,SKU1,57417,0.17,1,0,0,0.0,0,0,0,0
2017-11-19,SKU1,60631,0.17,1,0,0,0.0,0,0,0,0
2017-11-26,SKU1,64904,0.17,1,0,0,0.0,0,0,0,0
2017-12-03,SKU1,66333,0.17,1,0,0,0.0,0,0,0,1
2017-12-10,SKU1,71917,0.17,1,0,0,0.0,0,0,0,0
2017-12-17,SKU1,94633,0.17,1,0,0,0.0,0,0,0,0
2017-12-24,SKU1,155253,0.17,1,0,0,0.0,0,0,0,0
2017-12-31,SKU1,89706,0.17,0,0,0,0.0,0,0,0,0
2018-01-07,SKU1,41941,0.0,0,0,0,0.0,0,0,0,0
2018-01-14,SKU1,37845,0.0,0,0,0,0.0,0,0,0,0
2018-01-21,SKU1,43324,0.06,1,0,1,0.0,0,0,0,0
2018-01-28,SKU1,65691,0.17,0,0,0,0.0,0,0,0,0
2018-02-04,SKU1,35016,0.0,0,0,0,0.0,0,0,0,0
2018-02-11,SKU1,33604,0.0,1,0,1,0.0,0,1,0,0
2018-02-18,SKU1,55216,0.17,0,0,0,0.0,0,0,0,0
2018-02-25,SKU1,33908,0.0,1,0,1,0.0,0,0,0,0
2018-03-04,SKU1,51305,0.17,0,1,0,0.0,0,0,0,0
2018-03-11,SKU1,91870,0.44,1,0,0,0.0,0,0,0,0
2018-03-18,SKU1,51438,0.17,1,0,0,0.0,0,0,0,0
2018-03-25,SKU1,54925,0.17,1,0,0,0.0,0,0,0,0
2018-04-01,SKU1,79050,0.17,0,0,0,0.0,0,0,0,0
2018-04-08,SKU1,35136,0.0,0,0,0,0.0,0,0,1,0
2018-04-15,SKU1,34800,0.0,1,0,1,0.0,0,0,0,0
2018-04-22,SKU1,56351,0.17,0,0,0,0.0,0,0,0,0
2018-04-29,SKU1,34225,0.0,1,0,1,0.0,0,0,0,0
2018-05-06,SKU1,49036,0.17,1,0,1,0.0,0,0,0,0
2018-05-13,SKU1,52964,0.17,0,0,0,0.0,0,0,0,0
2018-05-20,SKU1,34526,0.0,0,0,0,0.0,0,0,0,0
2018-05-27,SKU1,33308,0.0,1,0,1,0.0,0,0,0,0
2018-06-03,SKU1,49314,0.17,0,1,1,0.0,0,0,0,0
2018-06-10,SKU1,84075,0.44,0,0,0,0.0,0,0,0,0
2018-06-17,SKU1,32223,0.0,0,0,0,0.0,0,0,0,0
2018-06-24,SKU1,32463,0.0,1,0,1,0.0,0,0,0,0
2018-07-01,SKU1,51818,0.17,0,0,0,0.0,0,0,0,0
2018-07-08,SKU1,35597,0.0,0,0,0,0.0,0,0,0,0
2018-07-15,SKU1,35354,0.0,0,0,0,0.0,0,0,0,0
2018-07-22,SKU1,35191,0.0,0,0,0,0.0,0,0,0,0
2018-07-29,SKU1,33057,0.0,0,0,0,0.0,0,0,0,0
2018-08-05,SKU1,32373,0.0,0,0,0,0.0,0,0,0,0
2018-08-12,SKU1,31850,0.0,0,0,0,0.0,0,0,0,0
2018-08-19,SKU1,31772,0.0,0,0,0,0.0,0,0,0,0
