date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU2,7180,0.25,1,0,0,0.0,0,0,0,0
2017-02-12,SKU2,7080,0.25,0,0,0,0.0,0,1,0,0
2017-02-19,SKU2,2753,0.0,0,0,0,0.0,0,0,0,0
2017-02-26,SKU2,3062,0.0,1,0,0,0.0,0,0,0,0
2017-03-05,SKU2,8342,0.25,0,0,0,0.0,0,0,0,0
2017-03-12,SKU2,3124,0.0,0,1,0,0.0,0,0,0,0
2017-03-19,SKU2,41915,0.5,0,0,0,0.0,0,0,0,0
2017-03-26,SKU2,3226,0.03,1,0,0,0.0,0,0,0,0
2017-04-02,SKU2,7618,0.25,0,0,0,0.0,0,0,0,0
2017-04-09,SKU2,3084,0.03,0,0,0,0.0,0,0,1,0
2017-04-16,SKU2,2463,0.0,1,0,0,0.0,0,0,0,0
2017-04-23,SKU2,6547,0.25,0,1,0,0.0,0,0,0,0
2017-04-30,SKU2,8290,0.25,0,0,0,0.0,0,0,0,0
2017-05-07,SKU2,3390,0.0,0,0,0,0.0,0,0,0,0
2017-05-14,SKU2,3450,0.0,0,1,0,0.0,0,0,0,0
2017-05-21,SKU2,52122,0.5,1,0,0,0.0,0,0,0,0
2017-05-28,SKU2,7256,0.28,0,0,0,0.0,0,0,0,0
2017-06-04,SKU2,3081,0.0,0,1,1,0.0,0,0,0,0
2017-06-11,SKU2,8604,0.25,0,0,0,0.0,0,0,0,0
2017-06-18,SKU2,3232,0.0,0,1,0,0.0,0,0,0,0
2017-06-25,SKU2,33566,0.5,0,0,0,0.0,0,0,0,0
2017-07-02,SKU2,3232,0.05,0,0,0,0.0,0,0,0,0
2017-07-09,SKU2,2560,0.0,1,0,0,0.0,0,0,0,0
2017-07-16,SKU2,8489,0.25,0,0,0,0.0,0,0,0,0
2017-07-23,SKU2,2990,0.0,0,1,0,0.0,0,0,0,0
2017-07-30,SKU2,7956,0.25,0,0,0,0.0,0,0,0,0
2017-08-06,SKU2,3071,0.0,0,0,0,0.0,0,0,0,0
2017-08-13,SKU2,3098,0.0,0,0,0,0.0,0,0,0,0
2017-08-20,SKU2,3078,0.0,1,0,0,0.0,0,0,0,0
2017-08-27,SKU2,8376,0.25,0,0,0,0.0,0,0,0,0
2017-09-03,SKU2,2626,0.0,0,0,0,0.0,0,0,0,0
2017-09-10,SKU2,2617,0.0,0,0,0,0.0,0,0,0,0
2017-09-17,SKU2,2572,0.0,1,0,0,0.0,0,0,0,0
2017-09-24,SKU2,6877,0.25,0,0,0,0.0,0,0,0,0
2017-10-01,SKU2,2242,0.0,1,0,0,0.0,0,0,0,0
2017-10-08,SKU2,7041,0.25,0,0,0,0.0,0,0,0,0
2017-10-15,SKU2,2523,0.03,1,0,0,0.0,0,0,0,0
2017-10-22,SKU2,6905,0.25,0,1,1,0.0,0,0,0,0
2017-10-29,SKU2,40527,0.5,0,0,0,0.0,0,0,0,0
2017-11-05,SKU2,2636,0.03,1,0,0,0.0,0,0,0,0
2017-11-12,SKU2,6184,0.25,0,0,0,0.0,0,0,0,0
2017-11-19,SKU2,2521,0.0,0,0,0,0.0,0,0,0,0
2017-11-26,SKU2,2380,0.0,1,0,0,0.0,0,0,0,0
2017-12-03,SKU2,6270,0.25,1,0,0,0.0,0,0,0,1
2017-12-10,SKU2,5278,0.25,0,0,0,0.0,0,0,0,0
2017-12-17,SKU2,2007,0.03,0,0,0,0.0,0,0,0,0
2017-12-24,SKU2,1453,0.0,1,0,0,0.0,0,0,0,0
2017-12-31,SKU2,4940,0.25,0,0,0,0.0,0,0,0,0
2018-01-07,SKU2,2156,0.03,0,0,0,0.0,0,0,0,0
2018-01-14,SKU2,2305,0.03,0,1,0,0.0,0,0,0,0
2018-01-21,SKU2,6406,0.25,0,0,0,0.0,0,0,0,0
2018-01-28,SKU2,2267,0.0,0,0,0,0.0,0,0,0,0
2018-02-04,SKU2,2583,0.0,0,1,1,0.0,0,0,0,0
2018-02-11,SKU2,32549,0.5,1,0,0,0.0,0,1,0,0
2018-02-18,SKU2,6613,0.28,0,0,0,0.0,0,0,0,0
2018-02-25,SKU2,2620,0.0,0,0,0,0.0,0,0,0,0
2018-03-04,SKU2,2805,0.0,0,0,0,0.0,0,0,0,0
2018-03-11,SKU2,3069,0.0,1,0,0,0.0,0,0,0,0
2018-03-18,SKU2,8464,0.25,0,0,0,0.0,0,0,0,0
2018-03-25,SKU2,3318,0.0,0,0,0,0.0,0,0,0,0
2018-04-01,SKU2,2651,0.0,0,1,0,0.0,0,0,0,0
2018-04-08,SKU2,17970,0.5,1,0,0,0.0,0,0,1,0
2018-04-15,SKU2,7697,0.25,0,0,0,0.0,0,0,0,0
2018-04-22,SKU2,2867,0.0,0,1,0,0.0,0,0,0,0
2018-04-29,SKU2,6534,0.25,0,0,0,0.0,0,0,0,0
2018-05-06,SKU2,3679,0.03,0,1,0,0.0,0,0,0,0
2018-05-13,SKU2,41316,0.5,1,0,0,0.0,0,0,0,0
2018-05-20,SKU2,8430,0.28,0,1,0,0.0,0,0,0,0
2018-05-27,SKU2,8539,0.25,0,1,1,0.0,0,0,0,0
2018-06-03,SKU2,8834,0.25,0,0,0,0.0,0,0,0,0
2018-06-10,SKU2,2930,0.0,0,0,0,0.0,0,0,0,0
2018-06-17,SKU2,3420,0.0,0,1,1,0.0,0,0,0,0
2018-06-24,SKU2,42002,0.5,1,0,0,0.0,0,0,0,0
2018-07-01,SKU2,8320,0.25,0,0,0,0.0,0,0,0,0
2018-07-08,SKU2,3387,0.0,1,0,0,0.0,0,0,0,0
2018-07-15,SKU2,9878,0.25,0,0,0,0.0,0,0,0,0
2018-07-22,SKU2,3468,0.0,1,0,0,0.0,0,0,0,0
2018-07-29,SKU2,9613,0.25,0,0,0,0.0,0,0,0,0
2018-08-05,SKU2,3901,0.0,1,0,0,0.0,0,0,0,0
2018-08-12,SKU2,8664,0.25,0,0,0,0.0,0,0,0,0
2018-08-19,SKU2,3395,0.0,1,0,0,0.0,0,0,0,0
2018-08-26,SKU2,9024,0.25,0,0,0,0.0,0,0,0,0
2018-09-02,SKU2,3725,0.03,0,0,0,0.0,0,0,0,0
2018-09-09,SKU2,3139,0.03,0,0,0,0.0,0,0,0,0
2018-09-16,SKU2,3126,0.0,1,0,0,0.0,0,0,0,0
2018-09-23,SKU2,9301,0.25,0,0,0,0.0,0,0,0,0
2018-09-30,SKU2,3053,0.03,0,1,0,0.0,0,0,0,0
2018-10-07,SKU2,32900,0.5,1,0,0,0.0,0,0,0,0
2018-10-14,SKU2,7386,0.25,0,0,0,0.0,0,0,0,0
2018-10-21,SKU2,2990,0.0,0,0,0,0.0,0,0,0,0
2018-10-28,SKU2,3269,0.0,0,0,0,0.0,0,0,0,0
2018-11-04,SKU2,3304,0.0,0,0,0,0.0,0,0,0,0
2018-11-11,SKU2,2825,0.0,1,0,0,0.0,0,0,0,0
2018-11-18,SKU2,7680,0.25,0,0,0,0.0,0,0,0,0
2018-11-25,SKU2,2747,0.03,0,0,0,0.0,0,0,0,0
2018-12-02,SKU2,2781,0.0,1,0,0,0.0,0,0,0,1
2018-12-09,SKU2,7022,0.25,0,0,0,0.0,0,0,0,0
2018-12-16,SKU2,2609,0.0,0,0,0,0.0,0,0,0,0
2018-12-23,SKU2,1976,0.03,0,0,0,0.0,0,0,0,0
2018-12-30,SKU2,2027,0.0,0,0,0,0.0,0,0,0,0
2019-01-06,SKU2,2642,0.0,0,0,0,0.0,0,0,0,0
2019-01-13,SKU2,2808,0.0,0,1,0,0.0,0,0,0,0
2019-01-20,SKU2,8978,0.25,1,0,0,0.0,0,0,0,0
2019-01-27,SKU2,6950,0.25,0,0,0,0.0,0,0,0,0
2019-02-03,SKU2,3019,0.0,0,0,0,0.0,0,0,0,0
2019-02-10,SKU2,2837,0.0,0,0,0,0.0,0,1,0,0
2019-02-17,SKU2,3055,0.0,0,1,0,0.0,0,0,0,0
2019-02-24,SKU2,23327,0.5,1,0,0,0.0,0,0,0,0
2019-03-03,SKU2,7084,0.25,1,0,0,0.0,0,0,0,0
2019-03-10,SKU2,6714,0.25,0,0,0,0.0,0,0,0,0
