date,Product,Sales,Price Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
2017-02-05,SKU5,5229,0.0,0,0,0,0.0,0,0,0,0
2017-02-12,SKU5,5748,0.0,1,0,0,0.0,0,1,0,0
2017-02-19,SKU5,20536,0.38,0,0,0,0.0,0,0,0,0
2017-02-26,SKU5,5928,0.0,1,0,0,0.0,0,0,0,0
2017-03-05,SKU5,21787,0.38,0,0,0,0.0,0,0,0,0
2017-03-12,SKU5,5952,0.0,0,0,0,0.0,0,0,0,0
2017-03-19,SKU5,5994,0.0,1,0,0,0.0,0,0,0,0
2017-03-26,SKU5,15317,0.25,0,0,0,0.0,0,0,0,0
2017-04-02,SKU5,6194,0.0,0,0,0,0.0,0,0,0,0
2017-04-09,SKU5,6467,0.0,0,0,0,0.0,0,0,1,0
2017-04-16,SKU5,5740,0.0,0,1,1,0.0,0,0,0,0
2017-04-23,SKU5,42344,0.5,1,0,0,0.0,0,0,0,0
2017-04-30,SKU5,14974,0.25,0,0,0,0.0,0,0,0,0
2017-05-07,SKU5,6174,0.0,0,1,1,0.0,0,0,0,0
2017-05-14,SKU5,45348,0.5,1,0,0,0.0,0,0,0,0
2017-05-21,SKU5,16178,0.25,0,0,0,0.0,0,0,0,0
2017-05-28,SKU5,6856,0.0,0,0,0,0.0,0,0,0,0
2017-06-04,SKU5,6716,0.0,1,0,0,0.0,0,0,0,0
2017-06-11,SKU5,22959,0.38,0,0,0,0.0,0,0,0,0
2017-06-18,SKU5,6927,0.0,0,1,0,0.0,0,0,0,0
2017-06-25,SKU5,25870,0.38,0,0,0,0.0,0,0,0,0
2017-07-02,SKU5,7285,0.0,0,1,1,0.0,0,0,0,0
2017-07-09,SKU5,55905,0.5,1,0,0,0.0,0,0,0,0
2017-07-16,SKU5,17012,0.25,0,0,0,0.0,0,0,0,0
2017-07-23,SKU5,7485,0.0,0,0,0,0.0,0,0,0,0
2017-07-30,SKU5,7519,0.0,0,1,0,0.0,0,0,0,0
2017-08-06,SKU5,25361,0.38,0,0,0,0.0,0,0,0,0
2017-08-13,SKU5,7462,0.0,0,1,1,0.0,0,0,0,0
2017-08-20,SKU5,73114,0.5,1,0,0,0.0,0,0,0,0
2017-08-27,SKU5,16280,0.25,0,0,0,0.0,0,0,0,0
2017-09-03,SKU5,7209,0.0,1,0,0,0.0,0,0,0,0
2017-09-10,SKU5,23030,0.38,0,0,0,0.0,0,0,0,0
2017-09-17,SKU5,7000,0.03,0,1,1,0.0,0,0,0,0
2017-09-24,SKU5,55567,0.5,1,0,0,0.0,0,0,0,0
2017-10-01,SKU5,17914,0.25,0,0,0,0.0,0,0,0,0
2017-10-08,SKU5,6830,0.0,0,1,0,0.0,0,0,0,0
2017-10-15,SKU5,25641,0.38,1,0,0,0.0,0,0,0,0
2017-10-22,SKU5,15565,0.25,0,1,0,0.0,0,0,0,0
2017-10-29,SKU5,24714,0.38,0,0,0,0.0,0,0,0,0
2017-11-05,SKU5,6935,0.0,0,1,1,0.0,0,0,0,0
2017-11-12,SKU5,50485,0.5,1,0,0,0.0,0,0,0,0
2017-11-19,SKU5,13982,0.25,0,0,0,0.0,0,0,0,0
2017-11-26,SKU5,11140,0.25,1,0,0,0.0,0,0,0,0
2017-12-03,SKU5,12363,0.25,0,1,0,0.0,0,0,0,1
2017-12-10,SKU5,17940,0.38,1,0,0,0.0,0,0,0,0
2017-12-17,SKU5,11647,0.25,1,0,0,0.0,0,0,0,0
2017-12-24,SKU5,12059,0.25,0,0,0,0.0,0,0,0,0
2017-12-31,SKU5,4298,0.0,1,0,1,0.0,0,0,0,0
2018-01-07,SKU5,14637,0.25,0,0,0,0.0,0,0,0,0
2018-01-14,SKU5,5294,0.0,0,1,0,0.0,0,0,0,0
2018-01-21,SKU5,51114,0.5,1,0,0,0.0,0,0,0,0
2018-01-28,SKU5,11520,0.25,0,0,0,0.0,0,0,0,0
2018-02-04,SKU5,5389,0.0,0,1,0,0.0,0,0,0,0
2018-02-11,SKU5,20916,0.43,0,0,0,0.0,0,1,0,0
2018-02-18,SKU5,4965,0.0,0,0,0,0.0,0,0,0,0
2018-02-25,SKU5,5256,0.0,1,0,0,0.0,0,0,0,0
2018-03-04,SKU5,18282,0.38,0,0,0,0.0,0,0,0,0
2018-03-11,SKU5,5285,0.03,0,0,0,0.0,0,0,0,0
2018-03-18,SKU5,4832,0.0,1,0,0,0.0,0,0,0,0
2018-03-25,SKU5,12206,0.25,0,0,0,0.0,0,0,0,0
2018-04-01,SKU5,4562,0.0,0,0,0,0.0,0,0,0,0
2018-04-08,SKU5,4226,0.0,0,0,0,0.0,0,0,1,0
2018-04-15,SKU5,4993,0.0,0,0,0,0.0,0,0,0,0
2018-04-22,SKU5,6608,0.0,0,1,1,0.0,0,0,0,0
2018-04-29,SKU5,42963,0.5,1,0,0,0.0,0,0,0,0
2018-05-06,SKU5,13215,0.25,1,0,0,0.0,0,0,0,0
2018-05-13,SKU5,6442,0.0,1,0,0,0.0,0,0,0,0
2018-05-20,SKU5,17038,0.25,0,0,0,0.0,0,0,0,0
2018-05-27,SKU5,6759,0.0,0,1,1,0.0,0,0,0,0
2018-06-03,SKU5,55160,0.5,1,0,0,0.0,0,0,0,0
2018-06-10,SKU5,14319,0.28,0,0,0,0.0,0,0,0,0
2018-06-17,SKU5,6693,0.0,0,0,0,0.0,0,0,0,0
2018-06-24,SKU5,6789,0.0,0,1,1,0.0,0,0,0,0
2018-07-01,SKU5,56275,0.5,0,1,0,0.0,0,0,0,0
2018-07-08,SKU5,43611,0.5,1,0,0,0.0,0,0,0,0
2018-07-15,SKU5,21242,0.38,1,0,0,0.0,0,0,0,0
2018-07-22,SKU5,15810,0.25,1,0,0,0.0,0,0,0,0
2018-07-29,SKU5,22544,0.38,1,0,0,0.0,0,0,0,0
2018-08-05,SKU5,14761,0.25,0,0,0,0.0,0,0,0,0
2018-08-12,SKU5,6716,0.0,0,0,0,0.0,0,0,0,0
2018-08-19,SKU5,7212,0.0,0,1,1,0.0,0,0,0,0
2018-08-26,SKU5,46909,0.5,1,0,0,0.0,0,0,0,0
2018-09-02,SKU5,15599,0.25,0,1,1,0.0,0,0,0,0
2018-09-09,SKU5,45838,0.5,1,0,0,0.0,0,0,0,0
2018-09-16,SKU5,14169,0.25,1,0,0,0.0,0,0,0,0
2018-09-23,SKU5,21634,0.38,0,0,0,0.0,0,0,0,0
2018-09-30,SKU5,6973,0.0,0,1,0,0.0,0,0,0,0
2018-10-07,SKU5,40051,0.5,1,0,0,0.0,0,0,0,0
2018-10-14,SKU5,18984,0.38,1,0,0,0.0,0,0,0,0
2018-10-21,SKU5,24517,0.38,1,0,0,0.0,0,0,0,0
2018-10-28,SKU5,15187,0.38,0,0,0,0.0,0,0,0,0
2018-11-04,SKU5,7449,0.13,1,0,0,0.0,0,0,0,0
2018-11-11,SKU5,18669,0.38,0,0,0,0.0,0,0,0,0
2018-11-18,SKU5,5863,0.0,1,0,0,0.0,0,0,0,0
2018-11-25,SKU5,13225,0.25,0,0,0,0.0,0,0,0,0
2018-12-02,SKU5,6095,0.0,0,1,0,0.0,0,0,0,1
2018-12-09,SKU5,23690,0.38,1,0,0,0.0,0,0,0,0
2018-12-16,SKU5,14226,0.25,1,0,0,0.0,0,0,0,0
2018-12-23,SKU5,14616,0.25,1,0,0,0.0,0,0,0,0
2018-12-30,SKU5,7890,0.25,0,0,0,0.0,0,0,0,0
2019-01-06,SKU5,4889,0.0,0,0,0,0.0,0,0,0,0
2019-01-13,SKU5,4934,0.0,1,0,0,0.0,0,0,0,0
2019-01-20,SKU5,5241,0.0,1,0,0,0.0,0,0,0,0
2019-01-27,SKU5,12323,0.25,0,0,0,0.0,0,0,0,0
2019-02-03,SKU5,5251,0.03,1,0,0,0.0,0,0,0,0
2019-02-10,SKU5,13048,0.25,0,0,0,0.0,0,1,0,0
2019-02-17,SKU5,5421,0.03,1,0,1,0.0,0,0,0,0
2019-02-24,SKU5,16020,0.38,0,0,0,0.0,0,0,0,0
2019-03-03,SKU5,4829,0.0,1,0,0,0.0,0,0,0,0
2019-03-10,SKU5,17449,0.38,0,0,0,0.0,0,0,0,0
2019-03-17,SKU5,5738,0.0,1,0,0,0.0,0,0,0,0
2019-03-24,SKU5,17134,0.38,0,0,0,0.0,0,0,0,0
2019-03-31,SKU5,5365,0.0,0,0,0,0.0,0,0,0,0
2019-04-07,SKU5,5523,0.0,1,0,0,0.0,0,0,1,0
2019-04-14,SKU5,19294,0.38,0,0,0,0.0,0,0,0,0
2019-04-21,SKU5,5007,0.03,1,0,0,0.0,0,0,0,0
2019-04-28,SKU5,15324,0.38,0,0,0,0.0,0,0,0,0
2019-05-05,SKU5,5504,0.03,0,1,0,0.0,0,0,0,0
2019-05-12,SKU5,47061,0.5,1,0,0,0.0,0,0,0,0
2019-05-19,SKU5,14292,0.25,0,0,0,0.0,0,0,0,0
2019-05-26,SKU5,5687,0.0,1,0,0,0.0,0,0,0,0
2019-06-02,SKU5,17663,0.38,0,1,1,0.0,0,0,0,0
2019-06-09,SKU5,57064,0.5,1,0,1,0.0,0,0,0,0
2019-06-16,SKU5,17809,0.38,0,0,0,0.0,0,0,0,0
2019-06-23,SKU5,6203,0.03,0,1,0,0.0,0,0,0,0
2019-06-30,SKU5,61658,0.5,0,1,0,0.0,0,0,0,0
2019-07-07,SKU5,39035,0.5,1,0,0,0.0,0,0,0,0
2019-07-14,SKU5,18790,0.38,0,0,0,0.0,0,0,0,0
2019-07-21,SKU5,6622,0.0,1,0,0,0.0,0,0,0,0
2019-07-28,SKU5,18827,0.38,1,0,0,0.0,0,0,0,0
2019-08-04,SKU5,14597,0.25,0,1,1,0.0,0,0,0,0
2019-08-11,SKU5,63644,0.5,1,0,0,0.0,0,0,0,0
2019-08-18,SKU5,14461,0.25,0,0,0,0.0,0,0,0,0
2019-08-25,SKU5,6393,0.0,0,0,0,0.0,0,0,0,0
2019-09-01,SKU5,6739,0.0,0,0,0,0.0,0,0,0,0
2019-09-08,SKU5,6009,0.0,0,1,0,0.0,0,0,0,0
2019-09-15,SKU5,56807,0.5,1,0,0,0.0,0,0,0,0
2019-09-22,SKU5,24271,0.38,1,0,0,0.0,0,0,0,0
2019-09-29,SKU5,18570,0.38,0,0,0,0.0,0,0,0,0
2019-10-06,SKU5,7913,0.0,0,1,1,0.0,0,0,0,0
2019-10-13,SKU5,57496,0.5,0,0,0,0.0,0,0,0,0
2019-10-20,SKU5,9007,0.05,1,0,0,0.0,0,0,0,0
2019-10-27,SKU5,17524,0.38,0,1,1,0.0,0,0,0,0
2019-11-03,SKU5,20191,0.38,1,0,0,0.0,0,0,0,0
2019-11-10,SKU5,12292,0.25,0,0,0,0.0,0,0,0,0
